Row ID,Date,Category,Year-Month
3194,01/2015,Office Supplies,2015-01
3195,01/2015,Office Supplies,2015-01
3199,01/2015,Technology,2015-01
3366,01/2015,Furniture,2015-01
3795,01/2015,Office Supplies,2015-01
3796,01/2015,Furniture,2015-01
3797,01/2015,Office Supplies,2015-01
4066,01/2015,Office Supplies,2015-01
4067,01/2015,Office Supplies,2015-01
4068,01/2015,Office Supplies,2015-01
4069,01/2015,Technology,2015-01
4159,01/2015,Office Supplies,2015-01
4492,01/2015,Technology,2015-01
4493,01/2015,Furniture,2015-01
4494,01/2015,Office Supplies,2015-01
4495,01/2015,Furniture,2015-01
4828,01/2015,Office Supplies,2015-01
4829,01/2015,Office Supplies,2015-01
4905,01/2015,Furniture,2015-01
4938,01/2015,Office Supplies,2015-01
4939,01/2015,Furniture,2015-01
4940,01/2015,Office Supplies,2015-01
5365,01/2015,Office Supplies,2015-01
5463,01/2015,Office Supplies,2015-01
5464,01/2015,Office Supplies,2015-01
5465,01/2015,Office Supplies,2015-01
5466,01/2015,Furniture,2015-01
5714,01/2015,Technology,2015-01
5737,01/2015,Office Supplies,2015-01
5738,01/2015,Furniture,2015-01
5896,01/2015,Office Supplies,2015-01
5897,01/2015,Office Supplies,2015-01
6327,01/2015,Office Supplies,2015-01
6328,01/2015,Furniture,2015-01
6329,01/2015,Office Supplies,2015-01
6330,01/2015,Office Supplies,2015-01
6331,01/2015,Office Supplies,2015-01
6332,01/2015,Office Supplies,2015-01
6333,01/2015,Furniture,2015-01
6334,01/2015,Office Supplies,2015-01
6388,01/2015,Office Supplies,2015-01
6389,01/2015,Office Supplies,2015-01
6475,01/2015,Furniture,2015-01
6548,01/2015,Furniture,2015-01
6549,01/2015,Office Supplies,2015-01
7121,01/2015,Office Supplies,2015-01
7559,01/2015,Office Supplies,2015-01
7560,01/2015,Office Supplies,2015-01
7561,01/2015,Furniture,2015-01
7948,01/2015,Office Supplies,2015-01
7949,01/2015,Furniture,2015-01
7950,01/2015,Furniture,2015-01
7951,01/2015,Office Supplies,2015-01
7954,01/2015,Office Supplies,2015-01
7955,01/2015,Office Supplies,2015-01
8004,01/2015,Technology,2015-01
8005,01/2015,Furniture,2015-01
8006,01/2015,Furniture,2015-01
8150,01/2015,Office Supplies,2015-01
8151,01/2015,Furniture,2015-01
8242,01/2015,Office Supplies,2015-01
8243,01/2015,Technology,2015-01
8310,01/2015,Office Supplies,2015-01
8311,01/2015,Furniture,2015-01
8389,01/2015,Office Supplies,2015-01
8706,01/2015,Office Supplies,2015-01
9150,01/2015,Office Supplies,2015-01
9151,01/2015,Office Supplies,2015-01
9156,01/2015,Office Supplies,2015-01
9629,01/2015,Office Supplies,2015-01
9630,01/2015,Office Supplies,2015-01
708,02/2015,Technology,2015-02
709,02/2015,Furniture,2015-02
710,02/2015,Office Supplies,2015-02
719,02/2015,Office Supplies,2015-02
720,02/2015,Furniture,2015-02
1333,02/2015,Office Supplies,2015-02
1334,02/2015,Office Supplies,2015-02
1704,02/2015,Office Supplies,2015-02
2733,02/2015,Technology,2015-02
2734,02/2015,Office Supplies,2015-02
2788,02/2015,Furniture,2015-02
2789,02/2015,Office Supplies,2015-02
2790,02/2015,Furniture,2015-02
2883,02/2015,Office Supplies,2015-02
2925,02/2015,Office Supplies,2015-02
2926,02/2015,Furniture,2015-02
3223,02/2015,Office Supplies,2015-02
3224,02/2015,Office Supplies,2015-02
3225,02/2015,Technology,2015-02
3226,02/2015,Office Supplies,2015-02
3227,02/2015,Office Supplies,2015-02
3228,02/2015,Technology,2015-02
3229,02/2015,Technology,2015-02
3888,02/2015,Office Supplies,2015-02
3889,02/2015,Technology,2015-02
3890,02/2015,Office Supplies,2015-02
4404,02/2015,Office Supplies,2015-02
4521,02/2015,Technology,2015-02
4522,02/2015,Furniture,2015-02
4524,02/2015,Office Supplies,2015-02
4525,02/2015,Furniture,2015-02
4876,02/2015,Technology,2015-02
4930,02/2015,Office Supplies,2015-02
4931,02/2015,Office Supplies,2015-02
5029,02/2015,Technology,2015-02
5467,02/2015,Office Supplies,2015-02
5512,02/2015,Office Supplies,2015-02
5513,02/2015,Office Supplies,2015-02
5683,02/2015,Office Supplies,2015-02
5684,02/2015,Technology,2015-02
5685,02/2015,Office Supplies,2015-02
5825,02/2015,Office Supplies,2015-02
6058,02/2015,Office Supplies,2015-02
6059,02/2015,Office Supplies,2015-02
6082,02/2015,Furniture,2015-02
6173,02/2015,Office Supplies,2015-02
6174,02/2015,Technology,2015-02
6175,02/2015,Office Supplies,2015-02
6228,02/2015,Technology,2015-02
6252,02/2015,Office Supplies,2015-02
6502,02/2015,Technology,2015-02
6503,02/2015,Technology,2015-02
6504,02/2015,Office Supplies,2015-02
6530,02/2015,Office Supplies,2015-02
6531,02/2015,Office Supplies,2015-02
6600,02/2015,Furniture,2015-02
6601,02/2015,Office Supplies,2015-02
6602,02/2015,Furniture,2015-02
6603,02/2015,Office Supplies,2015-02
7037,02/2015,Technology,2015-02
7277,02/2015,Technology,2015-02
7289,02/2015,Technology,2015-02
7438,02/2015,Office Supplies,2015-02
7507,02/2015,Technology,2015-02
7508,02/2015,Office Supplies,2015-02
7577,02/2015,Technology,2015-02
7578,02/2015,Technology,2015-02
7611,02/2015,Office Supplies,2015-02
8223,02/2015,Office Supplies,2015-02
8504,02/2015,Office Supplies,2015-02
8827,02/2015,Office Supplies,2015-02
8828,02/2015,Office Supplies,2015-02
8920,02/2015,Furniture,2015-02
9002,02/2015,Technology,2015-02
9003,02/2015,Office Supplies,2015-02
9034,02/2015,Office Supplies,2015-02
9138,02/2015,Office Supplies,2015-02
9139,02/2015,Technology,2015-02
9140,02/2015,Technology,2015-02
9464,02/2015,Office Supplies,2015-02
9516,02/2015,Office Supplies,2015-02
9762,02/2015,Technology,2015-02
9763,02/2015,Office Supplies,2015-02
9764,02/2015,Office Supplies,2015-02
196,03/2015,Office Supplies,2015-03
197,03/2015,Office Supplies,2015-03
202,03/2015,Furniture,2015-03
203,03/2015,Office Supplies,2015-03
556,03/2015,Office Supplies,2015-03
603,03/2015,Office Supplies,2015-03
604,03/2015,Furniture,2015-03
605,03/2015,Office Supplies,2015-03
606,03/2015,Office Supplies,2015-03
607,03/2015,Office Supplies,2015-03
856,03/2015,Office Supplies,2015-03
857,03/2015,Office Supplies,2015-03
858,03/2015,Office Supplies,2015-03
1163,03/2015,Technology,2015-03
1164,03/2015,Office Supplies,2015-03
1165,03/2015,Office Supplies,2015-03
1346,03/2015,Office Supplies,2015-03
1347,03/2015,Office Supplies,2015-03
1348,03/2015,Office Supplies,2015-03
1349,03/2015,Office Supplies,2015-03
1350,03/2015,Office Supplies,2015-03
1351,03/2015,Furniture,2015-03
1518,03/2015,Office Supplies,2015-03
1519,03/2015,Office Supplies,2015-03
1553,03/2015,Office Supplies,2015-03
1700,03/2015,Furniture,2015-03
1768,03/2015,Office Supplies,2015-03
1769,03/2015,Office Supplies,2015-03
1891,03/2015,Office Supplies,2015-03
1892,03/2015,Office Supplies,2015-03
1983,03/2015,Technology,2015-03
2230,03/2015,Office Supplies,2015-03
2231,03/2015,Office Supplies,2015-03
2275,03/2015,Furniture,2015-03
2276,03/2015,Furniture,2015-03
2358,03/2015,Furniture,2015-03
2359,03/2015,Furniture,2015-03
2360,03/2015,Furniture,2015-03
2361,03/2015,Office Supplies,2015-03
2362,03/2015,Office Supplies,2015-03
2433,03/2015,Furniture,2015-03
2623,03/2015,Office Supplies,2015-03
2697,03/2015,Technology,2015-03
2698,03/2015,Technology,2015-03
2699,03/2015,Office Supplies,2015-03
2700,03/2015,Office Supplies,2015-03
2701,03/2015,Furniture,2015-03
2702,03/2015,Office Supplies,2015-03
2703,03/2015,Furniture,2015-03
2841,03/2015,Furniture,2015-03
2871,03/2015,Office Supplies,2015-03
2872,03/2015,Furniture,2015-03
2897,03/2015,Office Supplies,2015-03
3156,03/2015,Office Supplies,2015-03
3453,03/2015,Technology,2015-03
3555,03/2015,Office Supplies,2015-03
3556,03/2015,Technology,2015-03
3862,03/2015,Office Supplies,2015-03
3863,03/2015,Office Supplies,2015-03
3991,03/2015,Office Supplies,2015-03
4245,03/2015,Technology,2015-03
4341,03/2015,Office Supplies,2015-03
4480,03/2015,Office Supplies,2015-03
4677,03/2015,Office Supplies,2015-03
4678,03/2015,Office Supplies,2015-03
4679,03/2015,Technology,2015-03
4680,03/2015,Office Supplies,2015-03
4681,03/2015,Office Supplies,2015-03
4712,03/2015,Office Supplies,2015-03
4759,03/2015,Technology,2015-03
4760,03/2015,Office Supplies,2015-03
4761,03/2015,Office Supplies,2015-03
4877,03/2015,Office Supplies,2015-03
4878,03/2015,Office Supplies,2015-03
4986,03/2015,Office Supplies,2015-03
5049,03/2015,Office Supplies,2015-03
5050,03/2015,Technology,2015-03
5101,03/2015,Office Supplies,2015-03
5102,03/2015,Office Supplies,2015-03
5103,03/2015,Office Supplies,2015-03
5284,03/2015,Office Supplies,2015-03
5285,03/2015,Office Supplies,2015-03
5461,03/2015,Office Supplies,2015-03
5480,03/2015,Office Supplies,2015-03
5600,03/2015,Office Supplies,2015-03
5601,03/2015,Office Supplies,2015-03
5602,03/2015,Technology,2015-03
5706,03/2015,Office Supplies,2015-03
5954,03/2015,Office Supplies,2015-03
6139,03/2015,Furniture,2015-03
6152,03/2015,Furniture,2015-03
6161,03/2015,Technology,2015-03
6162,03/2015,Office Supplies,2015-03
6163,03/2015,Office Supplies,2015-03
6164,03/2015,Office Supplies,2015-03
6165,03/2015,Furniture,2015-03
6166,03/2015,Furniture,2015-03
6167,03/2015,Technology,2015-03
6266,03/2015,Office Supplies,2015-03
6267,03/2015,Office Supplies,2015-03
6323,03/2015,Office Supplies,2015-03
6430,03/2015,Office Supplies,2015-03
6431,03/2015,Furniture,2015-03
6432,03/2015,Office Supplies,2015-03
6433,03/2015,Furniture,2015-03
6591,03/2015,Office Supplies,2015-03
7247,03/2015,Office Supplies,2015-03
7248,03/2015,Furniture,2015-03
7249,03/2015,Office Supplies,2015-03
7306,03/2015,Furniture,2015-03
7328,03/2015,Furniture,2015-03
7329,03/2015,Technology,2015-03
7330,03/2015,Office Supplies,2015-03
7349,03/2015,Office Supplies,2015-03
7428,03/2015,Office Supplies,2015-03
7429,03/2015,Office Supplies,2015-03
7430,03/2015,Office Supplies,2015-03
7431,03/2015,Office Supplies,2015-03
7432,03/2015,Office Supplies,2015-03
7584,03/2015,Technology,2015-03
7585,03/2015,Office Supplies,2015-03
7586,03/2015,Office Supplies,2015-03
7587,03/2015,Office Supplies,2015-03
7588,03/2015,Office Supplies,2015-03
7630,03/2015,Office Supplies,2015-03
7631,03/2015,Technology,2015-03
7632,03/2015,Furniture,2015-03
7802,03/2015,Furniture,2015-03
7840,03/2015,Office Supplies,2015-03
7841,03/2015,Furniture,2015-03
7981,03/2015,Office Supplies,2015-03
8011,03/2015,Office Supplies,2015-03
8218,03/2015,Office Supplies,2015-03
8219,03/2015,Furniture,2015-03
8220,03/2015,Office Supplies,2015-03
8221,03/2015,Office Supplies,2015-03
8222,03/2015,Office Supplies,2015-03
8344,03/2015,Office Supplies,2015-03
8345,03/2015,Furniture,2015-03
8346,03/2015,Furniture,2015-03
8398,03/2015,Office Supplies,2015-03
8431,03/2015,Office Supplies,2015-03
8464,03/2015,Technology,2015-03
8712,03/2015,Furniture,2015-03
8979,03/2015,Office Supplies,2015-03
9052,03/2015,Office Supplies,2015-03
9053,03/2015,Office Supplies,2015-03
9054,03/2015,Technology,2015-03
9078,03/2015,Technology,2015-03
9229,03/2015,Office Supplies,2015-03
9307,03/2015,Office Supplies,2015-03
9308,03/2015,Office Supplies,2015-03
9309,03/2015,Technology,2015-03
9310,03/2015,Office Supplies,2015-03
9406,03/2015,Technology,2015-03
9407,03/2015,Office Supplies,2015-03
9515,03/2015,Office Supplies,2015-03
9566,03/2015,Furniture,2015-03
9567,03/2015,Office Supplies,2015-03
9568,03/2015,Office Supplies,2015-03
9660,03/2015,Office Supplies,2015-03
318,04/2015,Furniture,2015-04
319,04/2015,Technology,2015-04
320,04/2015,Technology,2015-04
321,04/2015,Technology,2015-04
322,04/2015,Office Supplies,2015-04
341,04/2015,Office Supplies,2015-04
342,04/2015,Office Supplies,2015-04
343,04/2015,Office Supplies,2015-04
344,04/2015,Technology,2015-04
404,04/2015,Office Supplies,2015-04
740,04/2015,Office Supplies,2015-04
741,04/2015,Office Supplies,2015-04
742,04/2015,Office Supplies,2015-04
885,04/2015,Furniture,2015-04
1166,04/2015,Office Supplies,2015-04
1173,04/2015,Office Supplies,2015-04
1376,04/2015,Office Supplies,2015-04
1377,04/2015,Office Supplies,2015-04
1378,04/2015,Office Supplies,2015-04
1379,04/2015,Technology,2015-04
1380,04/2015,Office Supplies,2015-04
1381,04/2015,Office Supplies,2015-04
1449,04/2015,Office Supplies,2015-04
1460,04/2015,Furniture,2015-04
1544,04/2015,Office Supplies,2015-04
1545,04/2015,Office Supplies,2015-04
1561,04/2015,Office Supplies,2015-04
1565,04/2015,Office Supplies,2015-04
1749,04/2015,Office Supplies,2015-04
1750,04/2015,Office Supplies,2015-04
1774,04/2015,Office Supplies,2015-04
1775,04/2015,Office Supplies,2015-04
1776,04/2015,Office Supplies,2015-04
1777,04/2015,Office Supplies,2015-04
1875,04/2015,Office Supplies,2015-04
2615,04/2015,Furniture,2015-04
2616,04/2015,Office Supplies,2015-04
2714,04/2015,Technology,2015-04
2716,04/2015,Technology,2015-04
2721,04/2015,Office Supplies,2015-04
2722,04/2015,Office Supplies,2015-04
2724,04/2015,Office Supplies,2015-04
2725,04/2015,Office Supplies,2015-04
2743,04/2015,Furniture,2015-04
2891,04/2015,Furniture,2015-04
2892,04/2015,Office Supplies,2015-04
3406,04/2015,Furniture,2015-04
3407,04/2015,Furniture,2015-04
3408,04/2015,Office Supplies,2015-04
3409,04/2015,Furniture,2015-04
3533,04/2015,Technology,2015-04
3534,04/2015,Office Supplies,2015-04
3535,04/2015,Office Supplies,2015-04
3536,04/2015,Office Supplies,2015-04
3609,04/2015,Office Supplies,2015-04
3610,04/2015,Office Supplies,2015-04
3611,04/2015,Office Supplies,2015-04
3955,04/2015,Furniture,2015-04
3956,04/2015,Office Supplies,2015-04
4309,04/2015,Technology,2015-04
4310,04/2015,Furniture,2015-04
4311,04/2015,Office Supplies,2015-04
4312,04/2015,Office Supplies,2015-04
4313,04/2015,Technology,2015-04
4376,04/2015,Furniture,2015-04
4377,04/2015,Office Supplies,2015-04
4378,04/2015,Furniture,2015-04
4422,04/2015,Office Supplies,2015-04
4570,04/2015,Furniture,2015-04
4845,04/2015,Office Supplies,2015-04
4948,04/2015,Office Supplies,2015-04
4996,04/2015,Office Supplies,2015-04
5005,04/2015,Technology,2015-04
5076,04/2015,Furniture,2015-04
5077,04/2015,Office Supplies,2015-04
5078,04/2015,Furniture,2015-04
5121,04/2015,Office Supplies,2015-04
5122,04/2015,Technology,2015-04
5123,04/2015,Office Supplies,2015-04
5124,04/2015,Office Supplies,2015-04
5654,04/2015,Office Supplies,2015-04
6375,04/2015,Furniture,2015-04
6376,04/2015,Office Supplies,2015-04
6440,04/2015,Furniture,2015-04
6569,04/2015,Office Supplies,2015-04
6570,04/2015,Furniture,2015-04
6571,04/2015,Office Supplies,2015-04
6572,04/2015,Technology,2015-04
6708,04/2015,Office Supplies,2015-04
6733,04/2015,Office Supplies,2015-04
6734,04/2015,Office Supplies,2015-04
6850,04/2015,Furniture,2015-04
7162,04/2015,Office Supplies,2015-04
7163,04/2015,Office Supplies,2015-04
7164,04/2015,Office Supplies,2015-04
7165,04/2015,Office Supplies,2015-04
7197,04/2015,Office Supplies,2015-04
7198,04/2015,Office Supplies,2015-04
7296,04/2015,Office Supplies,2015-04
7297,04/2015,Office Supplies,2015-04
7657,04/2015,Office Supplies,2015-04
7658,04/2015,Furniture,2015-04
7843,04/2015,Office Supplies,2015-04
7844,04/2015,Office Supplies,2015-04
7999,04/2015,Furniture,2015-04
8000,04/2015,Office Supplies,2015-04
8267,04/2015,Technology,2015-04
8452,04/2015,Technology,2015-04
8585,04/2015,Office Supplies,2015-04
8608,04/2015,Furniture,2015-04
8609,04/2015,Office Supplies,2015-04
8610,04/2015,Furniture,2015-04
8611,04/2015,Furniture,2015-04
8636,04/2015,Office Supplies,2015-04
8637,04/2015,Office Supplies,2015-04
8921,04/2015,Technology,2015-04
9075,04/2015,Office Supplies,2015-04
9157,04/2015,Office Supplies,2015-04
9158,04/2015,Office Supplies,2015-04
9159,04/2015,Technology,2015-04
9290,04/2015,Office Supplies,2015-04
18,05/2015,Office Supplies,2015-05
68,05/2015,Office Supplies,2015-05
69,05/2015,Technology,2015-05
172,05/2015,Office Supplies,2015-05
173,05/2015,Office Supplies,2015-05
174,05/2015,Furniture,2015-05
181,05/2015,Office Supplies,2015-05
182,05/2015,Technology,2015-05
608,05/2015,Office Supplies,2015-05
609,05/2015,Office Supplies,2015-05
610,05/2015,Technology,2015-05
686,05/2015,Technology,2015-05
687,05/2015,Office Supplies,2015-05
688,05/2015,Office Supplies,2015-05
711,05/2015,Office Supplies,2015-05
747,05/2015,Furniture,2015-05
748,05/2015,Office Supplies,2015-05
769,05/2015,Furniture,2015-05
921,05/2015,Office Supplies,2015-05
995,05/2015,Office Supplies,2015-05
996,05/2015,Technology,2015-05
1049,05/2015,Technology,2015-05
1050,05/2015,Technology,2015-05
1326,05/2015,Office Supplies,2015-05
1356,05/2015,Office Supplies,2015-05
1357,05/2015,Office Supplies,2015-05
1611,05/2015,Furniture,2015-05
1612,05/2015,Technology,2015-05
1613,05/2015,Technology,2015-05
1760,05/2015,Office Supplies,2015-05
1819,05/2015,Office Supplies,2015-05
1820,05/2015,Furniture,2015-05
1830,05/2015,Technology,2015-05
1887,05/2015,Office Supplies,2015-05
1888,05/2015,Office Supplies,2015-05
2130,05/2015,Office Supplies,2015-05
2131,05/2015,Office Supplies,2015-05
2132,05/2015,Furniture,2015-05
2516,05/2015,Office Supplies,2015-05
2704,05/2015,Office Supplies,2015-05
2752,05/2015,Furniture,2015-05
2761,05/2015,Office Supplies,2015-05
3006,05/2015,Office Supplies,2015-05
3079,05/2015,Office Supplies,2015-05
3201,05/2015,Furniture,2015-05
3202,05/2015,Office Supplies,2015-05
3217,05/2015,Technology,2015-05
3268,05/2015,Technology,2015-05
3269,05/2015,Technology,2015-05
3277,05/2015,Office Supplies,2015-05
3278,05/2015,Technology,2015-05
3279,05/2015,Office Supplies,2015-05
3280,05/2015,Office Supplies,2015-05
3281,05/2015,Office Supplies,2015-05
3791,05/2015,Office Supplies,2015-05
3879,05/2015,Office Supplies,2015-05
3880,05/2015,Office Supplies,2015-05
3885,05/2015,Office Supplies,2015-05
4143,05/2015,Office Supplies,2015-05
4212,05/2015,Office Supplies,2015-05
4213,05/2015,Office Supplies,2015-05
4214,05/2015,Office Supplies,2015-05
4560,05/2015,Furniture,2015-05
4647,05/2015,Office Supplies,2015-05
4656,05/2015,Office Supplies,2015-05
5355,05/2015,Furniture,2015-05
5356,05/2015,Office Supplies,2015-05
5358,05/2015,Technology,2015-05
5359,05/2015,Office Supplies,2015-05
5360,05/2015,Office Supplies,2015-05
5378,05/2015,Office Supplies,2015-05
5379,05/2015,Office Supplies,2015-05
5430,05/2015,Furniture,2015-05
5437,05/2015,Furniture,2015-05
5438,05/2015,Office Supplies,2015-05
5439,05/2015,Furniture,2015-05
5572,05/2015,Office Supplies,2015-05
5573,05/2015,Office Supplies,2015-05
5574,05/2015,Office Supplies,2015-05
5575,05/2015,Technology,2015-05
5576,05/2015,Technology,2015-05
5676,05/2015,Technology,2015-05
5677,05/2015,Technology,2015-05
5751,05/2015,Furniture,2015-05
5865,05/2015,Office Supplies,2015-05
5866,05/2015,Office Supplies,2015-05
5867,05/2015,Furniture,2015-05
5877,05/2015,Office Supplies,2015-05
5878,05/2015,Office Supplies,2015-05
5879,05/2015,Office Supplies,2015-05
6020,05/2015,Office Supplies,2015-05
6457,05/2015,Technology,2015-05
6458,05/2015,Office Supplies,2015-05
6628,05/2015,Office Supplies,2015-05
6684,05/2015,Furniture,2015-05
6740,05/2015,Office Supplies,2015-05
6741,05/2015,Furniture,2015-05
6742,05/2015,Office Supplies,2015-05
6805,05/2015,Technology,2015-05
7011,05/2015,Office Supplies,2015-05
7012,05/2015,Office Supplies,2015-05
7013,05/2015,Office Supplies,2015-05
7569,05/2015,Office Supplies,2015-05
7570,05/2015,Office Supplies,2015-05
7571,05/2015,Office Supplies,2015-05
7715,05/2015,Office Supplies,2015-05
7737,05/2015,Office Supplies,2015-05
7825,05/2015,Furniture,2015-05
7857,05/2015,Office Supplies,2015-05
7858,05/2015,Technology,2015-05
7859,05/2015,Office Supplies,2015-05
7860,05/2015,Office Supplies,2015-05
7978,05/2015,Technology,2015-05
7979,05/2015,Technology,2015-05
8439,05/2015,Office Supplies,2015-05
8497,05/2015,Office Supplies,2015-05
8498,05/2015,Technology,2015-05
8499,05/2015,Office Supplies,2015-05
8500,05/2015,Office Supplies,2015-05
8501,05/2015,Office Supplies,2015-05
8536,05/2015,Technology,2015-05
8553,05/2015,Technology,2015-05
8581,05/2015,Furniture,2015-05
8582,05/2015,Office Supplies,2015-05
8583,05/2015,Technology,2015-05
8584,05/2015,Office Supplies,2015-05
8596,05/2015,Office Supplies,2015-05
8597,05/2015,Office Supplies,2015-05
8683,05/2015,Technology,2015-05
8894,05/2015,Furniture,2015-05
9441,05/2015,Office Supplies,2015-05
9507,05/2015,Office Supplies,2015-05
9508,05/2015,Office Supplies,2015-05
9509,05/2015,Office Supplies,2015-05
9510,05/2015,Office Supplies,2015-05
9603,05/2015,Office Supplies,2015-05
9711,05/2015,Furniture,2015-05
9712,05/2015,Office Supplies,2015-05
9713,05/2015,Office Supplies,2015-05
9714,05/2015,Technology,2015-05
9715,05/2015,Technology,2015-05
9787,05/2015,Furniture,2015-05
9792,05/2015,Office Supplies,2015-05
9793,05/2015,Furniture,2015-05
9794,05/2015,Office Supplies,2015-05
9795,05/2015,Office Supplies,2015-05
422,06/2015,Technology,2015-06
482,06/2015,Technology,2015-06
690,06/2015,Furniture,2015-06
691,06/2015,Technology,2015-06
692,06/2015,Office Supplies,2015-06
777,06/2015,Office Supplies,2015-06
818,06/2015,Office Supplies,2015-06
819,06/2015,Office Supplies,2015-06
820,06/2015,Furniture,2015-06
821,06/2015,Office Supplies,2015-06
822,06/2015,Office Supplies,2015-06
869,06/2015,Office Supplies,2015-06
916,06/2015,Furniture,2015-06
917,06/2015,Furniture,2015-06
918,06/2015,Office Supplies,2015-06
1098,06/2015,Furniture,2015-06
1181,06/2015,Technology,2015-06
1182,06/2015,Office Supplies,2015-06
1335,06/2015,Office Supplies,2015-06
1405,06/2015,Office Supplies,2015-06
1406,06/2015,Furniture,2015-06
1407,06/2015,Technology,2015-06
1414,06/2015,Office Supplies,2015-06
1550,06/2015,Technology,2015-06
1746,06/2015,Office Supplies,2015-06
1836,06/2015,Office Supplies,2015-06
1856,06/2015,Office Supplies,2015-06
1998,06/2015,Office Supplies,2015-06
1999,06/2015,Technology,2015-06
2000,06/2015,Technology,2015-06
2127,06/2015,Technology,2015-06
2140,06/2015,Office Supplies,2015-06
2141,06/2015,Office Supplies,2015-06
2142,06/2015,Furniture,2015-06
2157,06/2015,Office Supplies,2015-06
2158,06/2015,Office Supplies,2015-06
2277,06/2015,Office Supplies,2015-06
2278,06/2015,Furniture,2015-06
2279,06/2015,Technology,2015-06
2496,06/2015,Furniture,2015-06
2678,06/2015,Office Supplies,2015-06
2679,06/2015,Office Supplies,2015-06
2690,06/2015,Office Supplies,2015-06
2720,06/2015,Furniture,2015-06
2912,06/2015,Office Supplies,2015-06
2913,06/2015,Office Supplies,2015-06
2914,06/2015,Office Supplies,2015-06
2924,06/2015,Office Supplies,2015-06
2984,06/2015,Office Supplies,2015-06
2985,06/2015,Furniture,2015-06
2997,06/2015,Office Supplies,2015-06
2998,06/2015,Furniture,2015-06
2999,06/2015,Technology,2015-06
3000,06/2015,Technology,2015-06
3001,06/2015,Office Supplies,2015-06
3002,06/2015,Office Supplies,2015-06
3148,06/2015,Office Supplies,2015-06
3506,06/2015,Technology,2015-06
3507,06/2015,Office Supplies,2015-06
3508,06/2015,Furniture,2015-06
3509,06/2015,Office Supplies,2015-06
3510,06/2015,Office Supplies,2015-06
3511,06/2015,Technology,2015-06
3512,06/2015,Office Supplies,2015-06
3773,06/2015,Technology,2015-06
4021,06/2015,Furniture,2015-06
4022,06/2015,Technology,2015-06
4023,06/2015,Furniture,2015-06
4064,06/2015,Office Supplies,2015-06
4065,06/2015,Office Supplies,2015-06
4410,06/2015,Office Supplies,2015-06
4411,06/2015,Office Supplies,2015-06
4412,06/2015,Office Supplies,2015-06
4413,06/2015,Technology,2015-06
4414,06/2015,Office Supplies,2015-06
4502,06/2015,Office Supplies,2015-06
4503,06/2015,Office Supplies,2015-06
4847,06/2015,Technology,2015-06
4848,06/2015,Office Supplies,2015-06
4849,06/2015,Office Supplies,2015-06
5036,06/2015,Furniture,2015-06
5037,06/2015,Technology,2015-06
5094,06/2015,Office Supplies,2015-06
5095,06/2015,Furniture,2015-06
5096,06/2015,Technology,2015-06
5097,06/2015,Furniture,2015-06
5098,06/2015,Office Supplies,2015-06
5099,06/2015,Office Supplies,2015-06
5150,06/2015,Technology,2015-06
5153,06/2015,Office Supplies,2015-06
5154,06/2015,Office Supplies,2015-06
5221,06/2015,Furniture,2015-06
5328,06/2015,Office Supplies,2015-06
5418,06/2015,Office Supplies,2015-06
5736,06/2015,Office Supplies,2015-06
6016,06/2015,Furniture,2015-06
6017,06/2015,Furniture,2015-06
6018,06/2015,Office Supplies,2015-06
